RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =       100600     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
  263  291     0     0  con    0  1.0D+00  4.3D-02  1.069D-03  2.522D-02
  264  293     0     0  con    1  4.9D-01  4.6D-03  6.444D-04  2.522D-02
  265  294     0     0  con    0  1.0D+00  3.5D-03  5.001D-04  2.522D-02
  266  295     0     0  con    0  1.0D+00  1.4D-02  8.471D-04  2.522D-02
  267  298     0     0  con    2  2.8D-01  3.0D-03  1.402D-03  2.522D-02
  268  299     0     0  con    0  1.0D+00  1.8D-03  1.040D-03  2.522D-02
  269  300     0     0  con    0  1.0D+00  1.9D-03  3.278D-04  2.522D-02
  270  301     0     0  con    0  1.0D+00  6.9D-03  6.027D-04  2.522D-02
  271  302     0     0  con    0  1.0D+00  1.4D-02  1.006D-03  2.522D-02
  272  303     0     0  con    0  1.0D+00  3.3D-02  9.613D-04  2.522D-02
  273  304     0     0  con    0  1.0D+00  4.7D-02  2.603D-03  2.522D-02
  274  305     0     0  con    0  1.0D+00  4.8D-03  1.101D-03  2.522D-02
  275  306     0     0  con    0  1.0D+00  2.0D-02  1.237D-03  2.522D-02
  276  307     0     0  con    0  1.0D+00  1.3D-02  1.263D-03  2.522D-02
  277  308     0     0  con    0  1.0D+00  3.7D-02  3.674D-03  2.522D-02
  278  310     0     0  con    1  4.8D-01  1.5D-02  5.854D-04  2.522D-02
  279  311     0     0  con    0  1.0D+00  4.7D-03  7.473D-04  2.522D-02
  280  312     0     0  con    0  1.0D+00  1.1D-02  8.879D-04  2.522D-02
  281  313     0     0  con    0  1.0D+00  8.2D-03  7.971D-04  2.522D-02
  282  314     0     0  con    0  1.0D+00  2.6D-02  1.246D-03  2.522D-02
  283  315     0     0  con    0  1.0D+00  5.7D-03  8.626D-04  2.522D-02
  284  316     0     0  con    0  1.0D+00  1.5D-02  6.239D-04  2.522D-02
  285  317     0     0  con    0  1.0D+00  2.2D-02  4.436D-04  2.522D-02
  286  318     0     0  con    0  1.0D+00  3.6D-02  8.033D-04  2.522D-02
  287  320     0     0  con    1  5.3D-01  3.8D-02  2.159D-03  2.522D-02
  288  321     0     0  con    0  1.0D+00  5.0D-03  5.637D-04  2.522D-02
  289  322     0     0  con    0  1.0D+00  2.5D-03  7.540D-04  2.522D-02
  290  323     0     0  con    0  1.0D+00  7.8D-03  5.449D-04  2.522D-02
  291  324     0     0  con    0  1.0D+00  6.1D-03  1.276D-03  2.522D-02
  292  325     0     0  con    0  1.0D+00  4.4D-03  6.154D-04  2.522D-02
  293  326     0     0  con    0  1.0D+00  8.1D-03  6.574D-04  2.522D-02
  294  327     0     0  con    0  1.0D+00  3.5D-03  7.106D-04  2.522D-02
  295  328     0     0  con    0  1.0D+00  7.6D-03  1.018D-03  2.522D-02
  296  329     0     0  con    0  1.0D+00  1.5D-02  8.541D-04  2.522D-02
  297  330     0     0  con    0  1.0D+00  5.6D-03  6.210D-04  2.522D-02
  298  331     0     0  con    0  1.0D+00  1.0D-02  1.014D-03  2.522D-02
  299  332     0     0  con    0  1.0D+00  9.5D-03  1.469D-03  2.522D-02
  300  333     0     0  con    0  1.0D+00  2.4D-02  6.389D-04  2.522D-02
  301  334     0     0  con    0  1.0D+00  2.7D-02  2.714D-03  2.522D-02
  302  335     0     0  con    0  1.0D+00  6.9D-03  1.343D-03  2.522D-02
  303  336     0     0  con    0  1.0D+00  2.2D-03  7.974D-04  2.522D-02
  304  337     0     0  con    0  1.0D+00  4.1D-03  4.820D-04  2.522D-02
  305  338     0     0  con    0  1.0D+00  6.9D-03  4.464D-04  2.522D-02
  306  339     0     0  con    0  1.0D+00  2.4D-02  4.804D-04  2.522D-02
  307  341     0     0  con    1  5.3D-01  1.3D-02  5.424D-04  2.522D-02
  308  342     0     0  con    0  1.0D+00  5.6D-03  5.898D-04  2.522D-02
  309  343     0     0  con    0  1.0D+00  1.9D-02  1.028D-03  2.522D-02
  310  344     0     0  con    0  1.0D+00  2.0D-02  1.321D-03  2.522D-02
  311  345     0     0  con    0  1.0D+00  7.2D-02  1.427D-03  2.522D-02
  312  347     0     0  con    1  5.2D-01  4.6D-02  1.905D-03  2.522D-02
  313  349     0     0  con    1  4.8D-01  2.5D-02  2.331D-03  2.522D-02
